Google,Microsoft,Yahoo,Apple,Facebook,Amazon
796.1,62.98,41.47,113.3,119.04,770.6
797.07,62.68,40.91,115.19,117.4,766.34
797.85,62.58,38.41,115.19,117.27,760.59
790.8,62.3,38.61,115.82,118.01,771.4
794.2,63.62,38.42,115.97,116.92,772.13
796.42,63.54,39.16,116.64,116.35,765.15
794.56,63.54,39.15,116.95,115.05,749.87
791.26,63.55,38.5,117.06,116.86,753.67
789.91,63.24,38.66,116.29,118.69,757.18
791.55,63.28,38.92,116.52,120.67,780.45
785.05,62.99,38.73,117.26,123.41,795.99
782.79,62.9,38.64,116.76,124.9,796.92
771.82,62.14,38.67,116.73,124.35,795.9
786.14,62.58,38.9,115.82,126.09,799.02
786.9,62.3,40.06,116.15,126.62,813.64
794.02,62.3,41.34,116.02,128.34,817.14
806.15,62.84,41.23,116.61,127.87,809.72
806.65,62.64,41.34,117.91,127.92,807.48
804.79,62.62,42.3,118.99,127.55,809.04
807.91,63.19,42.59,119.11,127.04,808.33
806.36,62.61,42.11,119.75,128.93,817.88
807.88,62.7,42.27,119.25,129.37,822.44
804.61,62.53,41.99,119.04,131.48,836.52
806.07,62.5,42.03,120,132.78,839.15
802.18,62.3,42.09,119.99,132.18,835.77
805.02,62.74,42.05,119.78,130.98,830.38
819.31,62.96,42.4,120,130.32,823.48
823.87,63.52,43.9,120.08,133.23,832.35
835.67,63.68,44.94,119.97,130.84,839.95
832.15,64.27,44.55,121.88,130.98,810.2
823.31,65.78,44.42,121.94,132.06,807.64
802.32,65.13,43.93,121.95,131.84,812.5
796.79,64.65,44.07,121.63,134.2,819.71
795.7,63.58,43.78,121.35,134.14,821.36
798.53,63.17,43.69,128.75,134.19,827.46
801.49,63.68,43.71,128.53,134.05,836.53
801.34,63.64,44.42,129.08,133.85,836.39
806.97,63.43,44.37,130.29,133.44,842.7
808.38,63.34,45.07,131.53,133.84,844.14
809.56,64.06,45.08,132.04,133.53,845.07
813.67,64,45.03,132.42,133.72,856.44
819.24,64.72,45.46,132.12,136.12,855.61
820.45,64.57,45.02,133.29,135.36,852.19
818.98,64.53,45.65,135.02,135.44,845.24
824.16,64.52,45.16,135.51,136.41,848.64
828.07,64.62,45.1,135.34,135.54,845.04
831.66,64.49,45.5,135.72,137.42,853.08
830.76,64.36,45.98,136.7,136.76,848.91
831.33,64.62,45.41,137.11,137.17,849.88
828.64,64.62,45.55,136.53,137.42,846.61
829.28,64.23,45.71,136.66,137.3,846.02
823.21,63.98,45.66,136.93,137.72,850.5
835.24,64.94,46.24,136.99,138.24,853
830.63,64.01,45.94,139.79,138.79,852.46
829.08,64.25,45.91,138.96,139.6,854.59
827.78,64.27,45.64,139.78,139.32,852.53
831.91,64.4,45.73,139.34,139.72,852.97
835.37,64.99,45.98,139.52,139.99,853.42
838.68,64.73,45.94,139,139.84,852.31
843.25,64.93,45.98,138.68,139.94,856.97
845.54,64.71,46.57,139.14,138.51,843.2
845.62,64.41,46.37,139.2,139.59,848.06
847.2,64.75,46.29,138.99,139.53,847.38
848.78,64.64,46.61,140.46,140.34,845.61
852.12,64.87,46.59,140.69,140.32,846.82
848.4,64.93,46.77,139.99,141.76,856
830.46,64.21,45.77,141.46,142.65,874.32
829.59,65.03,46.06,139.84,142.41,876.34
817.58,64.87,46.6,141.42,142.05,886.54
814.43,64.98,46.4,140.92,142.28,891.51
819.51,65.1,46.4,140.64,141.73,906.83
820.92,65.29,46.57,140.88,141.85,909.28
831.41,65.47,46.78,143.8,141.17,898.28
831.5,65.71,46.62,144.12,140.78,894.88
829.56,65.86,46.41,143.93,141.04,907.04
838.55,65.55,46.43,143.66,139.92,902.36
834.57,65.73,46.23,143.7,139.58,896.23
831.41,65.56,46.38,144.77,139.39,884.67
827.88,65.73,46.28,144.02,141.42,901.99
824.67,65.68,46.44,143.66,140.96,903.78
824.73,65.53,47.21,143.34,142.27,899.2
823.35,65.48,46.79,143.17,143.8,902.06
824.32,65.23,46.83,141.63,143.68,898.53
823.56,64.95,46.9,141.8,145.47,907.41
837.17,65.48,47.39,141.05,146.49,907.62
836.82,65.39,47.56,141.83,146.56,909.29
838.21,65.04,47,141.2,147.7,918.38
841.65,65.5,47.67,140.68,150.25,924.99
843.19,66.4,47.52,142.44,152.46,948.23
862.76,67.53,48.15,142.27,152.78,946.94
872.3,67.92,48.4,143.64,151.8,941.03
871.73,67.83,48.26,144.53,150.85,937.53
874.25,68.27,48.36,143.68,150.24,934.15
905.96,68.46,48.21,143.79,151.06,949.04
912.57,69.41,48.61,143.65,150.48,952.82
916.44,69.3,49.09,146.58,150.29,948.95
927.04,69.08,48.54,147.51,150.04,947.62
931.66,68.81,48.45,147.06,150.33,961.35
927.13,69,48.49,146.53,150.19,957.97
934.3,68.94,48.85,148.96,149.78,966.07
932.17,69.04,49.49,153.01,144.85,944.76
928.78,69.31,49.4,153.99,147.66,958.49
930.6,68.46,49.69,153.26,148.06,959.84
932.22,68.38,49.65,153.95,148.24,970.67
937.08,68.43,49.86,156.1,148.07,971.54
943,69.41,50.96,155.7,150.04,980.35
919.62,67.48,49.65,155.47,151.96,993.38
930.24,67.71,49.63,150.25,152.13,995.78
934.01,67.69,50.18,152.54,152.38,996.7
941.86,68.45,50.65,153.06,151.46,994.62
948.82,68.68,50.31,153.99,151.53,995.95
954.96,68.77,50.32,153.8,153.61,1006.73
969.54,69.62,50.6,153.34,153.63,1011.34
971.47,69.96,50.67,153.87,152.81,1003
975.88,70.41,50.56,153.61,153.12,1010.07
964.86,69.84,50.32,153.67,154.71,1010.27
966.95,70.1,50.65,152.76,149.6,978.31
975.6,71.76,50.6,153.18,148.44,964.91
